Prediction  FileName	Label_In_Index
1 		    inmail.7  		spam
2 		    inmail.8     	spam
3 		    inmail.9  		spam
7 		    inmail.68  		spam
8 			inmail.69  		spam
9 			inmail.70  		spam
13 			inmail.74  		spam
15 			inmail.76  		spam
17 			inmail.78  		spam
18 			inmail.79  		spam
19 			inmail.80  		spam
21 			inmail.82  		spam
22 			inmail.83  		spam
24 			inmail.85  		spam
26 			inmail.87  		spam
27 			inmail.88  		spam
29 			inmail.90  		spam
30 			inmail.91  		spam 
31 			inmail.92  		spam
32 			inmail.93  		spam
33 			inmail.94  		spam
34 			inmail.95  		spam
35 			inmail.96  		spam
36 			inmail.97  		spam
37 			inmail.98  		spam
38 			inmail.99  		spam
50 			inmail.662  	spam
51 			inmail.663  	spam
52 			inmail.664  	spam
54 			inmail.666  	spam
55 			inmail.667  	spam
56 			inmail.668  	spam
57 			inmail.669  	spam
58 			inmail.670  	spam
60 			inmail.672  	spam
61 			inmail.673  	spam
64 			inmail.675  	ham
66 			inmail.678  	spam
67 			inmail.679  	spam
69 			inmail.681  	spam
71 			inmail.683  	spam
73 			inmail.685  	spam
74 			inmail.686  	spam
76 			inmail.688  	spam
77 			inmail.689  	spam
79 			inmail.691  	spam
80 			inmail.692  	spam
81 			inmail.693  	spam
82 			inmail.694  	spam
